bairro,densidade_pop,idh,dist_ubs_km,historico_atendimentos,pct_exames_pendentes,populacao_infantil_pct,dia_semana_cadastro,latitude,longitude,demanda
Brás,14778.87,0.7694,6.114,6,0.3903,0.2434,3,-23.540056,-46.620294,Media
Brás,17630.53,0.7682,5.779,7,0.2784,0.1997,1,-23.544461,-46.619569,Alta
Brás,19398.88,0.7629,5.758,10,0.3089,0.2316,5,-23.540807,-46.611143,Alta
Brás,18723.79,0.7551,5.744,13,0.098,0.2062,2,-23.534425,-46.619829,Alta
Brás,15181.12,0.77,5.824,11,0.4115,0.2629,1,-23.548278,-46.621166,Alta
Brás,18451.16,0.7322,5.766,12,0.3181,0.1869,2,-23.543715,-46.617409,Alta
Brás,18435.88,0.7267,5.864,10,0.3416,0.216,4,-23.549136,-46.622113,Alta
Brás,18305.08,0.7307,5.995,9,0.0962,0.2417,2,-23.540711,-46.618471,Alta
Brás,17813.61,0.7217,5.882,9,0.6282,0.231,1,-23.537724,-46.613716,Alta
Brás,15922.28,0.7799,5.915,16,0.096,0.1692,3,-23.540332,-46.611309,Alta
Brás,22076.21,0.7905,5.848,11,0.3474,0.213,2,-23.541115,-46.616293,Alta
Brás,15193.4,0.7299,5.869,8,0.4194,0.1608,5,-23.546726,-46.619126,Alta
Brás,16473.34,0.7932,5.975,8,0.2208,0.1587,6,-23.541037,-46.607605,Media
Brás,17527.46,0.7538,5.809,8,0.1739,0.2292,6,-23.548022,-46.622341,Media
Brás,20290.92,0.7836,5.777,6,0.0892,0.2197,3,-23.540212,-46.608463,Media
Brás,18671.33,0.7524,6.338,10,0.1187,0.1537,1,-23.541747,-46.617921,Alta
Brás,19209.56,0.7441,5.885,17,0.1501,0.1658,5,-23.540759,-46.602913,Alta
Brás,16425.55,0.7882,5.81,10,0.3926,0.1126,0,-23.542713,-46.620812,Media
Brás,16390.13,0.74,5.752,14,0.6987,0.3653,6,-23.543741,-46.613792,Alta
Brás,16225.13,0.7852,5.797,15,0.3496,0.2067,0,-23.540739,-46.618277,Alta
Brás,19224.49,0.76,5.77,8,0.2364,0.3607,1,-23.534033,-46.613571,Alta
Brás,16036.8,0.7354,6.081,11,0.2349,0.0917,1,-23.543084,-46.614617,Media
Brás,17147.55,0.7565,6.25,9,0.0842,0.1674,1,-23.5354,-46.612587,Alta
Brás,19471.54,0.7853,5.855,13,0.1971,0.2591,2,-23.542853,-46.609644,Alta
Brás,20436.39,0.7656,5.943,16,0.0607,0.1851,6,-23.541736,-46.621583,Alta
Pinheiros,12610.14,0.8826,1.35,10,0.6046,0.2495,6,-23.574908,-46.68462,Media
Pinheiros,12966.87,0.8669,0.834,12,0.2735,0.2126,2,-23.565083,-46.687001,Baixa
Pinheiros,11509.48,0.8383,1.107,13,0.1989,0.2477,1,-23.555362,-46.693026,Baixa
Pinheiros,14103.38,0.8194,0.8,13,0.0559,0.2338,3,-23.578551,-46.691728,Media
Pinheiros,12386.07,0.8501,0.873,11,0.3748,0.2298,0,-23.562897,-46.693969,Baixa
Pinheiros,11298.24,0.8699,0.698,13,0.0159,0.2299,5,-23.560362,-46.692346,Baixa
Pinheiros,11835.18,0.8866,0.913,6,0.1032,0.1509,4,-23.565036,-46.697203,Baixa
Pinheiros,11500.36,0.869,1.212,6,0.2395,0.2105,6,-23.56519,-46.685397,Baixa
Pinheiros,9481.71,0.8526,0.982,6,0.1673,0.228,4,-23.561619,-46.696228,Media
Pinheiros,11658.2,0.8662,0.756,9,0.0428,0.3169,1,-23.57181,-46.690261,Baixa
Pinheiros,11270.45,0.8514,0.718,8,0.4245,0.2312,1,-23.559834,-46.691542,Media
Pinheiros,11611.82,0.8711,0.713,13,0.1145,0.2743,5,-23.568431,-46.68973,Baixa
Pinheiros,13100.31,0.8533,1.212,14,0.5952,0.1928,0,-23.554898,-46.689826,Baixa
Pinheiros,12394.61,0.8483,1.131,9,0.2223,0.1856,2,-23.558855,-46.696851,Baixa
Pinheiros,13700.67,0.8418,0.72,9,0.4527,0.2019,5,-23.571706,-46.694243,Baixa
Pinheiros,9348.36,0.8686,0.854,10,0.0468,0.2324,3,-23.568267,-46.692796,Baixa
Pinheiros,10184.19,0.8636,0.874,8,0.1906,0.2046,4,-23.570768,-46.697161,Baixa
Pinheiros,10363.8,0.8346,0.683,15,0.1177,0.1874,4,-23.56606,-46.699241,Baixa
Pinheiros,12090.05,0.8581,0.932,11,0.2511,0.2557,3,-23.557014,-46.697883,Media
Pinheiros,12050.17,0.8428,1.146,12,0.3281,0.194,6,-23.565792,-46.700875,Baixa
Pinheiros,10830.69,0.8698,1.045,10,0.302,0.2469,6,-23.572172,-46.690824,Baixa
Pinheiros,12366.48,0.831,0.904,12,0.1894,0.2216,6,-23.570098,-46.689644,Media
Pinheiros,11079.54,0.8488,1.071,8,0.229,0.2105,3,-23.572567,-46.689102,Baixa
Pinheiros,9455.39,0.87,0.872,9,0.5169,0.2282,3,-23.557761,-46.692871,Baixa
Pinheiros,10041.38,0.8929,0.838,11,0.217,0.2029,6,-23.567408,-46.700528,Media
Itaim Bibi,14631.65,0.8312,1.168,8,0.2006,0.2394,4,-23.580616,-46.673875,Alta
Itaim Bibi,12672.4,0.9076,1.217,7,0.5387,0.2077,5,-23.57994,-46.688259,Media
Itaim Bibi,12280.76,0.866,1.783,4,0.2547,0.2172,5,-23.58958,-46.681553,Baixa
Itaim Bibi,13122.08,0.8937,1.281,14,0.4087,0.2025,0,-23.589811,-46.677481,Baixa
Itaim Bibi,10033.28,0.9051,1.535,12,0.4408,0.2424,1,-23.581956,-46.677938,Baixa
Itaim Bibi,13691.57,0.8881,1.32,11,0.6873,0.2665,1,-23.575712,-46.674419,Baixa
Itaim Bibi,12114.69,0.8751,1.09,15,0.3476,0.2421,2,-23.581523,-46.6733,Media
Itaim Bibi,13965.58,0.8953,1.622,12,0.4904,0.2206,1,-23.583686,-46.682467,Baixa
Itaim Bibi,13544.97,0.8905,1.477,6,0.39,0.1827,3,-23.582144,-46.675044,Alta
Itaim Bibi,13270.36,0.8468,1.385,7,0.1011,0.275,4,-23.585361,-46.683221,Media
Itaim Bibi,13780.24,0.8762,1.147,13,0.1696,0.2322,3,-23.590397,-46.679406,Baixa
Itaim Bibi,11711.27,0.9113,1.721,9,0.4039,0.1636,1,-23.586599,-46.680764,Media
Itaim Bibi,12965.0,0.8646,1.515,12,0.3663,0.2266,4,-23.568806,-46.672744,Alta
Itaim Bibi,14907.89,0.8684,1.195,10,0.2666,0.2412,2,-23.594385,-46.673667,Media
Itaim Bibi,11290.94,0.8629,1.104,14,0.4374,0.2177,0,-23.589739,-46.673379,Baixa
Itaim Bibi,10616.47,0.8838,1.674,7,0.2291,0.1644,0,-23.59056,-46.682467,Baixa
Itaim Bibi,15321.81,0.8883,1.216,11,0.2286,0.1862,3,-23.582306,-46.684678,Baixa
Itaim Bibi,13608.22,0.8903,1.131,6,0.1564,0.2399,5,-23.581922,-46.680111,Baixa
Itaim Bibi,15190.65,0.9023,1.517,10,0.0696,0.1914,2,-23.575289,-46.677849,Baixa
Itaim Bibi,13105.98,0.8908,1.109,6,0.0763,0.2306,3,-23.580268,-46.674546,Baixa
Itaim Bibi,13888.43,0.9065,1.193,13,0.047,0.1844,6,-23.58712,-46.665785,Baixa
Itaim Bibi,14066.44,0.8825,1.572,16,0.3998,0.1829,2,-23.580078,-46.676827,Media
Itaim Bibi,13295.12,0.8769,1.153,15,0.1453,0.2422,4,-23.592354,-46.675853,Baixa
Itaim Bibi,14015.97,0.8972,1.276,9,0.1609,0.3097,6,-23.578126,-46.677549,Media
Itaim Bibi,14604.62,0.8896,1.123,15,0.2937,0.2201,5,-23.58135,-46.678874,Baixa
Bela Vista,9407.01,0.8584,1.21,7,0.3038,0.237,0,-23.56002,-46.646851,Baixa
Bela Vista,6996.2,0.8419,0.823,11,0.1768,0.195,3,-23.56424,-46.648907,Baixa
Bela Vista,9321.47,0.8493,0.955,14,0.4005,0.177,0,-23.564288,-46.646187,Media
Bela Vista,10814.4,0.8104,1.086,10,0.4384,0.2422,2,-23.55433,-46.651182,Alta
Bela Vista,9191.58,0.8522,0.731,8,0.5036,0.2085,2,-23.569564,-46.653464,Baixa
Bela Vista,12136.65,0.8341,1.556,4,0.3181,0.1501,4,-23.558334,-46.650284,Baixa
Bela Vista,10170.89,0.8176,0.952,5,0.3017,0.2499,5,-23.559002,-46.654387,Alta
Bela Vista,8124.41,0.8436,0.952,9,0.6301,0.2251,3,-23.555932,-46.650706,Baixa
Bela Vista,8675.19,0.8366,0.848,13,0.2314,0.1151,6,-23.566071,-46.650215,Media
Bela Vista,12230.69,0.8158,0.763,12,0.2684,0.104,2,-23.564316,-46.648827,Baixa
Bela Vista,10867.76,0.8434,0.828,6,0.3698,0.0975,1,-23.568688,-46.654835,Media
Bela Vista,9776.22,0.8223,1.165,11,0.6551,0.1625,2,-23.562184,-46.653889,Alta
Bela Vista,7757.82,0.8279,0.942,9,0.2508,0.2516,3,-23.561653,-46.655782,Media
Bela Vista,10706.18,0.8232,0.897,15,0.3397,0.318,3,-23.566233,-46.641475,Baixa
Bela Vista,8174.32,0.8084,0.859,6,0.2258,0.3341,1,-23.560112,-46.644466,Media
Bela Vista,9879.2,0.8198,0.927,5,0.0904,0.2178,0,-23.559545,-46.644987,Baixa
Bela Vista,10944.06,0.8115,0.932,17,0.4876,0.2243,5,-23.559965,-46.652863,Alta
Bela Vista,11013.94,0.8301,0.899,11,0.1819,0.1296,5,-23.569397,-46.644064,Baixa
Bela Vista,8962.77,0.8599,0.804,10,0.2322,0.27,2,-23.561113,-46.644921,Baixa
Bela Vista,10083.79,0.8206,0.748,11,0.5379,0.1888,6,-23.564599,-46.6408,Alta
Bela Vista,9831.09,0.8368,1.071,14,0.3583,0.2188,0,-23.551582,-46.644779,Baixa
Bela Vista,9499.55,0.8329,0.832,10,0.4715,0.1717,6,-23.572022,-46.645829,Media
Bela Vista,9781.48,0.8446,1.457,11,0.0145,0.1862,6,-23.55958,-46.646073,Baixa
Bela Vista,9853.72,0.8663,0.826,10,0.1577,0.2314,4,-23.560135,-46.656844,Baixa
Bela Vista,11271.17,0.8271,1.277,9,0.4642,0.2093,3,-23.565589,-46.646761,Media
Capão Redondo,20323.71,0.64,0.307,14,0.3262,0.1946,6,-23.66697,-46.782389,Alta
Capão Redondo,16350.0,0.673,0.532,7,0.0699,0.1443,3,-23.661554,-46.778476,Alta
Capão Redondo,18913.36,0.6226,0.383,10,0.2088,0.2041,6,-23.67446,-46.780029,Media
Capão Redondo,17319.96,0.6796,0.375,11,0.1901,0.2109,2,-23.662822,-46.787549,Alta
Capão Redondo,18463.83,0.6783,0.335,4,0.3053,0.2457,3,-23.654551,-46.78834,Alta
Capão Redondo,21001.67,0.6799,0.529,7,0.4363,0.2395,5,-23.658694,-46.779593,Media
Capão Redondo,20186.45,0.6364,0.55,12,0.3067,0.2318,0,-23.6679,-46.795278,Media
Capão Redondo,20631.07,0.6297,0.473,4,0.4469,0.2958,3,-23.667233,-46.783466,Alta
